Location,Restaurant,Review_Count
Ipoh,Plan B (Ipoh),1057
Ipoh,Miker Food,999
Ipoh,Ming Court Hong Kong Dim Sum 明阁香港点心,999
Ipoh,Greentown Dimsum Café,911
Ipoh,Restoran Mee Rebus Ramli @ Taman Tasek Jaya,865
Ipoh,Foh San Restaurant,863
Ipoh,Ipoh Tuck Kee Restaurant 德记炒粉专门店,863
Ipoh,Canning Dim Sum,690
Ipoh,Pakeeza Restaurant & Catering,689
Ipoh,Restoran Simpang Tiga,562
JB,Restoran Kacang Pool Haji,991
JB,7 Spice,739
JB,Big Food F&B - Taman Nong Chik,500
JB,Medan Selera Tepian Tebrau,500
JB,It Roo Cafe,492
JB,K Fry Urban Korean Holiday Villa,491
JB,Yi Jia Seafood Sdn. Bhd.,471
JB,People & Places Cafe,469
JB,Ashoka Curry House,463
JB,The Replacement - Lodge & Kitchen,450
KL,Canopy Lounge Rooftop Bar KL,948
KL,Khan’s Indian Cuisine,939
KL,Knowhere Bangsar,650
KL,Old Shanghai,599
KL,Antipodean @ Mid Valley,500
KL,Halab KL,500
KL,Lemon Garden Cafe,500
KL,Marini’s on 57,500
KL,RSMY,500
KL,BBQ NIGHTS,492
Kuching,Topspot Food Court,964
Kuching,Ceylonese Restaurant Sdn Bhd,661
Kuching,Lepau Restaurant,528
Kuching,Choon Hui Cafe,397
Kuching,Lau Ya Keng Foodcourt 阳春台茶室,362
Kuching,The Junk,353
Kuching,Mom's Laksa Kopitiam,328
Kuching,Feast & Furious,318
Kuching,Kopi O' Corner,300
Kuching,My Village Barok,300
Langkawi,Thirstday Bar and Restaurant,500
Langkawi,Wonderland Food Store,500
Langkawi,Haroo Korean Restaurant,426
Langkawi,Fat Cupid - Cafe & Restaurant,315
Langkawi,Sun Cafe,303
Langkawi,DESA PERMATA IKAN BAKAR no5&6,300
Langkawi,India Gate Restaurant - Puchong,300
Langkawi,Red Tomato Langkawi,300
Langkawi,"THE CLIFF RESTAURANT, LANGKAWI",300
Langkawi,Wang Chiew Seafood Restaurant,300
Melaka,Pak Putra Restaurant,990
Melaka,The Baboon House,817
Melaka,Selvam Restaurant,617
Melaka,Nasi Ayam Hoe Kee,567
Melaka,Asam Pedas Claypot 2 Restoran Kota Laksamana,300
Melaka,Cottage Spices Nyonya Restaurant,300
Melaka,Ee Ji Ban Chicken Rice Ball,300
Melaka,Low Yong Moh Restaurant,300
Melaka,Mamee Jonker House,300
Melaka,Nancy's Kitchen,300
Miri,Ming Cafe,526
Miri,Don’s Burger Permyjaya,347
Miri,Selera Rasa Segar,347
Miri,Miri Central Market,306
Miri,Container City Miri,258
Miri,Lao Yang Dim Sum,255
Miri,Excapade Japanese Cuisine Tanjong Lobang,228
Miri,Chillax Cafe & Bistro,204
Miri,Dragon Seafood Restaurant,174
Miri,Madli's,155
Penang,Healy Mac's Irish Bar & Restaurant,515
Penang,Lagenda House & Cafe,498
Penang,Jawi House Cafe Gallery,496
Penang,Cheang Kee Restaurant,423
Penang,Two Frenchies Cafe Bistro,357
Penang,Andrew's Kampung,327
Penang,Lavish Community,307
Penang,CRC Restaurant,300
Penang,Deens Maju Nasi Kandar,300
Penang,Gudang Café,300
Petaling Jaya,Antipodean Cafe,988
Petaling Jaya,Antipodean @ Atria,971
Petaling Jaya,Khan’s Indian Cuisine,948
Petaling Jaya,myBurgerLab OUG,938
Petaling Jaya,Village Park Restaurant,475
Petaling Jaya,Ishin Japanese Dining,448
Petaling Jaya,Aliyaa,447
Petaling Jaya,Vin's Restaurant,437
Petaling Jaya,33 Blue Room,300
Petaling Jaya,ABC Bistro Cafe,300
Shah Alam,Fatty Mee Hoon Kuih House (Klang),300
Shah Alam,Hadramawt Kitchen Shah Alam-Middle Eastern Restaurant,300
Shah Alam,Ole-Ole Bali @ Empire Shopping Gallery,300
Shah Alam,ALRAWSHA RESTAURANT,291
Shah Alam,Restoran Boston Baru,291
Shah Alam,Buns & Noodles,150
Shah Alam,Ti Chen,121
Shah Alam,"Melting Pot Cafe, Concorde Hotel",84
Shah Alam,Senja Restaurant @ The Saujana Hotel Kuala Lumpur,32
