Location,Restaurant,Review_Count
Johor ,Restoran Kacang Pool Haji,991
Johor ,7 Spice,739
Johor ,Big Food F&B - Taman Nong Chik,500
Johor ,Medan Selera Tepian Tebrau,500
Johor ,It Roo Cafe,492
Johor ,K Fry Urban Korean Holiday Villa,491
Johor ,Yi Jia Seafood Sdn. Bhd.,471
Johor ,People & Places Cafe,469
Johor ,Ashoka Curry House,463
Johor ,The Replacement - Lodge & Kitchen,450
Kedah,Thirstday Bar and Restaurant,500
Kedah,Wonderland Food Store,500
Kedah,Haroo Korean Restaurant,426
Kedah,Fat Cupid - Cafe & Restaurant,315
Kedah,Sun Cafe,303
Kedah,DESA PERMATA IKAN BAKAR no5&6,300
Kedah,India Gate Restaurant - Puchong,300
Kedah,Red Tomato Langkawi,300
Kedah,"THE CLIFF RESTAURANT, LANGKAWI",300
Kedah,Wang Chiew Seafood Restaurant,300
Kuala Lumpur,Canopy Lounge Rooftop Bar KL,948
Kuala Lumpur,Khan’s Indian Cuisine,939
Kuala Lumpur,Knowhere Bangsar,650
Kuala Lumpur,Old Shanghai,599
Kuala Lumpur,Antipodean @ Mid Valley,500
Kuala Lumpur,Halab KL,500
Kuala Lumpur,Lemon Garden Cafe,500
Kuala Lumpur,Marini’s on 57,500
Kuala Lumpur,RSMY,500
Kuala Lumpur,BBQ NIGHTS,492
Melaka,Pak Putra Restaurant,990
Melaka,The Baboon House,817
Melaka,Selvam Restaurant,617
Melaka,Nasi Ayam Hoe Kee,567
Melaka,Asam Pedas Claypot 2 Restoran Kota Laksamana,300
Melaka,Cottage Spices Nyonya Restaurant,300
Melaka,Ee Ji Ban Chicken Rice Ball,300
Melaka,Low Yong Moh Restaurant,300
Melaka,Mamee Jonker House,300
Melaka,Nancy's Kitchen,300
Perak,Plan B (Ipoh),1057
Perak,Miker Food,999
Perak,Ming Court Hong Kong Dim Sum 明阁香港点心,999
Perak,Greentown Dimsum Café,911
Perak,Restoran Mee Rebus Ramli @ Taman Tasek Jaya,865
Perak,Foh San Restaurant,863
Perak,Ipoh Tuck Kee Restaurant 德记炒粉专门店,863
Perak,Canning Dim Sum,690
Perak,Pakeeza Restaurant & Catering,689
Perak,Restoran Simpang Tiga,562
Pulau Pinang,Healy Mac's Irish Bar & Restaurant,515
Pulau Pinang,Lagenda House & Cafe,498
Pulau Pinang,Jawi House Cafe Gallery,496
Pulau Pinang,Cheang Kee Restaurant,423
Pulau Pinang,Two Frenchies Cafe Bistro,357
Pulau Pinang,Andrew's Kampung,327
Pulau Pinang,Lavish Community,307
Pulau Pinang,CRC Restaurant,300
Pulau Pinang,Deens Maju Nasi Kandar,300
Pulau Pinang,Gudang Café,300
Sarawak,Topspot Food Court,964
Sarawak,Ceylonese Restaurant Sdn Bhd,661
Sarawak,Lepau Restaurant,528
Sarawak,Ming Cafe,526
Sarawak,Choon Hui Cafe,397
Sarawak,Lau Ya Keng Foodcourt 阳春台茶室,362
Sarawak,The Junk,353
Sarawak,Don’s Burger Permyjaya,347
Sarawak,Selera Rasa Segar,347
Sarawak,Mom's Laksa Kopitiam,328
Selangor,Antipodean Cafe,988
Selangor,Antipodean @ Atria,971
Selangor,Khan’s Indian Cuisine,948
Selangor,myBurgerLab OUG,938
Selangor,Village Park Restaurant,475
Selangor,Ishin Japanese Dining,448
Selangor,Aliyaa,447
Selangor,Vin's Restaurant,437
Selangor,33 Blue Room,300
Selangor,ABC Bistro Cafe,300
